Unnamed: 0,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality,label
260,BSNL,2G,Travelling,Assam,0.0,100.0,0.0,Excellent
261,BSNL,2G,Travelling,Chattisgarh,0.0,0.0,100.0,Inadequate
262,BSNL,2G,Travelling,Gujarat,0.0,66.66666666666666,33.33333333333333,Very Good
263,BSNL,2G,Travelling,Haryana,0.0,100.0,0.0,Excellent
264,BSNL,2G,Travelling,Jharkhand,0.0,78.26086956521739,21.73913043478261,Very Good
265,BSNL,2G,Travelling,Karnataka,33.33333333333333,33.33333333333333,33.33333333333333,Poor
266,BSNL,2G,Travelling,Kerala,4.3478260869565215,82.6086956521739,13.043478260869565,Excellent
267,BSNL,2G,Travelling,Madhya Pradesh,0.0,100.0,0.0,Excellent
268,BSNL,2G,Travelling,Maharashtra,12.0,82.0,6.0,Excellent
269,BSNL,2G,Travelling,Manipur,0.0,100.0,0.0,Excellent
270,BSNL,2G,Travelling,Odisha,0.0,100.0,0.0,Excellent
271,BSNL,2G,Travelling,Tamil Nadu,0.0,100.0,0.0,Excellent
272,BSNL,2G,Travelling,Telangana,6.896551724137932,79.3103448275862,13.79310344827586,Very Good
273,BSNL,2G,Travelling,Uttar Pradesh,0.0,66.66666666666666,33.33333333333333,Very Good
274,BSNL,2G,Travelling,Uttarakhand,0.0,0.0,100.0,Inadequate
275,BSNL,2G,Travelling,West Bengal,4.166666666666666,8.333333333333332,87.5,Inadequate
276,BSNL,3G,Indoor,Andaman and Nicobar Islands,11.764705882352938,17.647058823529417,70.58823529411767,Inadequate
277,BSNL,3G,Indoor,Andhra Pradesh,5.326876513317192,90.79903147699758,3.87409200968523,Excellent
278,BSNL,3G,Indoor,Assam,0.0,0.0,100.0,Inadequate
279,BSNL,3G,Indoor,Chattisgarh,25.0,16.666666666666664,58.33333333333334,Inadequate
280,BSNL,3G,Indoor,Delhi,0.0,50.0,50.0,Average
281,BSNL,3G,Indoor,Gujarat,81.55339805825244,13.106796116504855,5.339805825242718,Inadequate
